,MovieID,Title,Genre
0,1,Toy Story (1995),Animation|Children's|Comedy
1,48,Pocahontas (1995),Animation|Children's|Musical|Romance
2,150,Apollo 13 (1995),Drama
3,260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi
4,527,Schindler's List (1993),Drama|War
5,531,"Secret Garden, The (1993)",Children's|Drama
6,588,Aladdin (1992),Animation|Children's|Comedy|Musical
7,594,Snow White and the Seven Dwarfs (1937),Animation|Children's|Musical
8,595,Beauty and the Beast (1991),Animation|Children's|Musical
9,608,Fargo (1996),Crime|Drama|Thriller
10,661,James and the Giant Peach (1996),Animation|Children's|Musical
11,720,Wallace & Gromit: The Best of Aardman Animation (1996),Animation
12,745,"Close Shave, A (1995)",Animation|Comedy|Thriller
13,783,"Hunchback of Notre Dame, The (1996)",Animation|Children's|Musical
14,914,My Fair Lady (1964),Musical|Romance
15,919,"Wizard of Oz, The (1939)",Adventure|Children's|Drama|Musical
16,938,Gigi (1958),Musical
17,1022,Cinderella (1950),Animation|Children's|Musical
18,1028,Mary Poppins (1964),Children's|Comedy|Musical
19,1029,Dumbo (1941),Animation|Children's|Musical
20,1035,"Sound of Music, The (1965)",Musical
21,1097,E.T. the Extra-Terrestrial (1982),Children's|Drama|Fantasy|Sci-Fi
22,1193,One Flew Over the Cuckoo's Nest (1975),Drama
23,1197,"Princess Bride, The (1987)",Action|Adventure|Comedy|Romance
24,1207,To Kill a Mockingbird (1962),Drama
25,1246,Dead Poets Society (1989),Drama
26,1270,Back to the Future (1985),Comedy|Sci-Fi
27,1287,Ben-Hur (1959),Action|Adventure|Drama
28,1545,Ponette (1996),Drama
29,1566,Hercules (1997),Adventure|Animation|Children's|Comedy|Musical
30,1721,Titanic (1997),Drama|Romance
31,1836,"Last Days of Disco, The (1998)",Drama
32,1907,Mulan (1998),Animation|Children's
33,1961,Rain Man (1988),Drama
34,1962,Driving Miss Daisy (1989),Drama
35,2018,Bambi (1942),Animation|Children's
36,2028,Saving Private Ryan (1998),Action|Drama|War
37,2294,Antz (1998),Animation|Children's
38,2321,Pleasantville (1998),Comedy
39,2340,Meet Joe Black (1998),Romance
40,2355,"Bug's Life, A (1998)",Animation|Children's|Comedy
41,2398,Miracle on 34th Street (1947),Drama
42,2687,Tarzan (1999),Animation|Children's
43,2692,Run Lola Run (Lola rennt) (1998),Action|Crime|Romance
44,2762,"Sixth Sense, The (1999)",Thriller
45,2791,Airplane! (1980),Comedy
46,2797,Big (1988),Comedy|Fantasy
47,2804,"Christmas Story, A (1983)",Comedy|Drama
48,2918,Ferris Bueller's Day Off (1986),Comedy
49,3105,Awakenings (1990),Drama
50,3114,Toy Story 2 (1999),Animation|Children's|Comedy
51,3186,"Girl, Interrupted (1999)",Drama
52,3408,Erin Brockovich (2000),Drama
54,17,Sense and Sensibility (1995),Drama|Romance
55,34,Babe (1995),Children's|Comedy|Drama
57,199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical
58,266,Legends of the Fall (1994),Drama|Romance|War|Western
59,296,Pulp Fiction (1994),Crime|Drama
60,364,"Lion King, The (1994)",Animation|Children's|Musical
61,368,Maverick (1994),Action|Comedy|Western
62,377,Speed (1994),Action|Romance|Thriller
63,383,Wyatt Earp (1994),Western
64,569,Little Big League (1994),Children's|Comedy
66,590,Dances with Wolves (1990),Adventure|Drama|Western
68,597,Pretty Woman (1990),Comedy|Romance
69,838,Emma (1996),Comedy|Drama|Romance
70,912,Casablanca (1942),Drama|Romance|War
72,920,Gone with the Wind (1939),Drama|Romance|War
73,1007,"Apple Dumpling Gang, The (1975)",Children's|Comedy|Western
75,1030,Pete's Dragon (1977),Adventure|Animation|Children's|Musical
77,1043,To Gillian on Her 37th Birthday (1996),Drama|Romance
78,1088,Dirty Dancing (1987),Musical|Romance
79,1101,Top Gun (1986),Action|Romance
80,1188,Strictly Ballroom (1992),Comedy|Romance
81,1210,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Romance|Sci-Fi|War
82,1296,"Room with a View, A (1986)",Drama|Romance
83,1380,Grease (1978),Comedy|Musical|Romance
84,1441,Benny & Joon (1993),Comedy|Romance
86,1569,My Best Friend's Wedding (1997),Comedy|Romance
87,1674,Witness (1985),Drama|Romance|Thriller
88,1688,Anastasia (1997),Animation|Children's|Musical
89,1806,Paulie (1998),Adventure|Children's|Comedy
90,1947,West Side Story (1961),Musical|Romance
91,1959,Out of Africa (1985),Drama|Romance
92,2006,"Mask of Zorro, The (1998)",Action|Adventure|Romance
93,2017,Babes in Toyland (1961),Children's|Fantasy|Musical
94,2081,"Little Mermaid, The (1989)",Animation|Children's|Comedy|Musical|Romance
95,2082,"Mighty Ducks, The (1992)",Children's|Comedy
96,2100,Splash (1984),Comedy|Fantasy|Romance
98,2396,Shakespeare in Love (1998),Comedy|Romance
99,2406,Romancing the Stone (1984),Action|Adventure|Comedy|Romance
100,2469,Peggy Sue Got Married (1986),Comedy|Romance
101,2506,"Other Sister, The (1999)",Comedy|Drama|Romance
102,2802,Tequila Sunrise (1988),Action|Romance|Thriller
103,2858,American Beauty (1999),Comedy|Drama
104,2966,"Straight Story, The (1999)",Drama
105,3072,Moonstruck (1987),Comedy
106,3074,Jeremiah Johnson (1972),Western
108,3501,Murphy's Romance (1985),Comedy|Romance
109,3508,"Outlaw Josey Wales, The (1976)",Western
110,3524,Arthur (1981),Comedy|Romance
111,3534,28 Days (2000),Comedy
112,3536,Keeping the Faith (2000),Comedy|Romance
113,3565,Where the Heart Is (2000),Comedy|Drama
114,3578,Gladiator (2000),Action|Drama
115,3600,Blue Hawaii (1961),Comedy|Musical
116,3604,Gypsy (1962),Musical
117,3610,Roustabout (1964),Musical
118,3624,Shanghai Noon (2000),Action
119,3682,Magnum Force (1973),Western
120,3685,Prizzi's Honor (1985),Comedy|Drama|Romance
121,3699,Starman (1984),Adventure|Drama|Romance|Sci-Fi
122,3717,Gone in 60 Seconds (2000),Action|Crime
123,3753,"Patriot, The (2000)",Action|Drama|War
125,4,Waiting to Exhale (1995),Comedy|Drama
126,14,Nixon (1995),Drama
127,16,Casino (1995),Drama|Thriller
129,24,Powder (1995),Drama|Sci-Fi
130,25,Leaving Las Vegas (1995),Drama|Romance
131,36,Dead Man Walking (1995),Drama
132,39,Clueless (1995),Comedy|Romance
133,42,Dead Presidents (1995),Action|Crime|Drama
134,58,"Postino, Il (The Postman) (1994)",Drama|Romance
135,73,"Mis�rables, Les (1995)",Drama|Musical
136,105,"Bridges of Madison County, The (1995)",Drama|Romance
137,110,Braveheart (1995),Action|Drama|War
138,111,Taxi Driver (1976),Drama|Thriller
140,151,Rob Roy (1995),Drama|Romance|War
141,161,Crimson Tide (1995),Drama|Thriller|War
142,163,Desperado (1995),Action|Romance|Thriller
143,230,Dolores Claiborne (1994),Drama|Thriller
144,253,Interview with the Vampire (1994),Drama|Horror
145,265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Romance
147,269,My Crazy Life (Mi vida loca) (1993),Drama
148,282,Nell (1994),Drama
149,288,Natural Born Killers (1994),Action|Thriller
151,337,What's Eating Gilbert Grape (1993),Drama
152,345,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama
153,349,Clear and Present Danger (1994),Action|Adventure|Thriller
155,393,Street Fighter (1994),Action
156,454,"Firm, The (1993)",Drama|Thriller
157,465,Heaven & Earth (1993),Action|Drama|War
158,476,"Inkwell, The (1994)",Comedy|Drama
159,480,Jurassic Park (1993),Action|Adventure|Sci-Fi
160,506,Orlando (1993),Drama
161,508,Philadelphia (1993),Drama
