,Unnamed: 0,MovieID,Title,Genre,UserID,Rating,Gender,Age,Occupation,Zip-code,Score
148,916,1688,Anastasia (1997),Animation|Children's|Musical,18,4,Female,18-24,clerical/admin,95825,0.23383041846720293
196,964,2096,Sleeping Beauty (1959),Animation|Children's|Musical,18,5,Female,18-24,clerical/admin,95825,0.23383041846720293
116,884,1282,Fantasia (1940),Animation|Children's|Musical,18,5,Female,18-24,clerical/admin,95825,0.23383041846720293
188,956,2081,"Little Mermaid, The (1989)",Animation|Children's|Comedy|Musical|Romance,18,5,Female,18-24,clerical/admin,95825,0.2178506633948806
187,955,2080,Lady and the Tramp (1955),Animation|Children's|Comedy|Musical|Romance,18,5,Female,18-24,clerical/admin,95825,0.2178506633948806
186,954,2078,"Jungle Book, The (1967)",Animation|Children's|Comedy|Musical,18,4,Female,18-24,clerical/admin,95825,0.21226350536194089
190,958,2083,"Muppet Christmas Carol, The (1992)",Children's|Musical,18,5,Female,18-24,clerical/admin,95825,0.2016909838570856
194,962,2090,"Rescuers, The (1977)",Animation|Children's,18,5,Female,18-24,clerical/admin,95825,0.18912811364535642
162,930,1907,Mulan (1998),Animation|Children's,18,5,Female,18-24,clerical/admin,95825,0.18912811364535642
266,1034,3034,Robin Hood (1973),Animation|Children's,18,5,Female,18-24,clerical/admin,95825,0.18912811364535642
204,972,2139,"Secret of NIMH, The (1982)",Animation|Children's,18,5,Female,18-24,clerical/admin,95825,0.18912811364535642
193,961,2089,"Rescuers Down Under, The (1990)",Animation|Children's,18,4,Female,18-24,clerical/admin,95825,0.18912811364535642
201,969,2123,All Dogs Go to Heaven (1989),Animation|Children's,18,3,Female,18-24,clerical/admin,95825,0.18912811364535642
191,959,2085,101 Dalmatians (1961),Animation|Children's,18,4,Female,18-24,clerical/admin,95825,0.18912811364535642
220,988,2294,Antz (1998),Animation|Children's,18,4,Female,18-24,clerical/admin,95825,0.18912811364535642
176,944,2018,Bambi (1942),Animation|Children's,18,4,Female,18-24,clerical/admin,95825,0.18912811364535642
203,971,2137,Charlotte's Web (1973),Animation|Children's,18,5,Female,18-24,clerical/admin,95825,0.18912811364535642
229,997,2394,"Prince of Egypt, The (1998)",Animation|Musical,18,4,Female,18-24,clerical/admin,95825,0.1832933902344808
192,960,2087,Peter Pan (1953),Animation|Children's|Fantasy|Musical,18,4,Female,18-24,clerical/admin,95825,0.1750818584467785
166,934,1960,"Last Emperor, The (1987)",Drama|War,18,5,Female,18-24,clerical/admin,95825,0.1677218620888998
238,1006,2573,Tango (1998),Drama,18,4,Female,18-24,clerical/admin,95825,0.16606041719295567
140,908,1635,"Ice Storm, The (1997)",Drama,18,1,Female,18-24,clerical/admin,95825,0.16606041719295567
146,914,1682,"Truman Show, The (1998)",Drama,18,4,Female,18-24,clerical/admin,95825,0.16606041719295567
273,1041,3260,Howards End (1992),Drama,18,5,Female,18-24,clerical/admin,95825,0.16606041719295567
270,1038,3252,Scent of a Woman (1992),Drama,18,4,Female,18-24,clerical/admin,95825,0.16606041719295567
262,1030,2959,Fight Club (1999),Drama,18,4,Female,18-24,clerical/admin,95825,0.16606041719295567
128,896,1411,Hamlet (1996),Drama,18,5,Female,18-24,clerical/admin,95825,0.16606041719295567
159,927,1873,"Mis�rables, Les (1998)",Drama,18,5,Female,18-24,clerical/admin,95825,0.16606041719295567
